period_start,period_end,namespace,data_start,data_end,pod_usage_memory_byte_seconds
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,default,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,731509063680.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,kube-service-catalog,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,431982673920.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,kube-system,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,6654877532160.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,ocp-metering,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,11381849456640.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,openshift-ansible-service-broker,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,196701880320.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,openshift-console,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,62651105280.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,openshift-monitoring,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,8328791900160.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,openshift-node,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,1176665948160.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,openshift-sdn,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,3423375360000.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,openshift-template-service-broker,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,224265584640.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,openshift-web-console,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,199243776000.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,security,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,283799715840.000000
2019-04-19 00:05:00 +0000 UTC,2019-04-20 01:20:00 +0000 UTC,test-project,2019-04-20 00:11:00 +0000 UTC,2019-04-20 01:19:00 +0000 UTC,112612884480.000000
